"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"122","Russian Federation",82.4096088,57.583703,76.47,65.29,70.74365854,742.2849645,5.17099307,77184758,66634908,26.05,89.22284616,1705345.684,2803398.488,11,96.70242377
"123","Rwanda",71.8354524,63.932368,68.821,64.854,66.884,48.7316463,6.8969318,5642840,5440795,83.033,63.05800983,839.743,6689.948897,6,55.5431414
"124","Samoa",84.3064212,75.0166018,74.762,70.511,72.549,259.1813645,6.22779528,92891,99330,80.851,98.01723041,198.018,356.08696,8,96.4066725
"125","Sao Tome and Principe",77.089926,67.4188766,71.394,66.737,69.052,122.805045,6.74057149,97807,97920,30.787,39.89519927,113.677,195.4869613,6,82.21143609
"126","Senegal",73.1829198,64.1224746,68.21,64.365,66.37,60.0312823,5.70465402,7282808,6891923,54.564,49.38172043,8855.805,54185.37188,11,77.02114452
"127","Seychelles",83.9460534,69.6644206,78.3,68.4,73.22926829,490.2197298,3.40399556,44277,47082,45.031,100,495.045,910.2873583,10,96.24901256
"128","Sierra Leone",46.5369986,41.050999,53.216,51.485,52.372,139.7573331,19.72749069,3521434,3495710,59.568,14.58525285,1309.119,11810.88702,9,57.05395552
"129","Singapore",93.5959556,89.0928696,84.8,80.3,82.49512195,2215.178162,3.87384676,2606984,2862740,0,100,56372.791,55910.2813,6,100
"130","Slovak Republic",89.1842506,75.2351628,80.5,73.3,76.81219512,1287.632737,6.9082491,2786818,2631831,46,97.92065195,30678.122,46301.27397,10,99.78675079
"131","Slovenia",92.2448346,83.8974978,84.1,78.2,81.07804878,2059.640467,8.50636051,1037549,1024431,46.443,99.10921461,12812.498,21074.74834,9,99.53320891
"132","Solomon Islands",78.690478,72.3037414,73.774,70.266,71.896,119.8366042,5.88308293,288724,298355,78.104,30.83105828,201.685,4591.464527,NA,70.13113155
"133","Spain",93.978923,87.3538606,86.2,80.4,83.22926829,2671.436965,9.02414667,23635055,22845827,20.634,99.90437773,233976.602,348257.2922,10,99.9269377
"134","Sri Lanka",89.7957162,76.4997248,79.54,72.713,76.147,138.7720929,3.60648043,10746588,10031412,81.782,93.75370037,18393.672,30451.82631,9,87.67644335
